0.4092,0.6255,0.3389,0.0625,0.3525,0.78,0.7036,0.397,0.0867,0.8135,0.587,0.9644,0.3296,0.3662,0.3628,0.4521,0.07733,0.788,0.2866,0.6196,0.657,0.206,0.83,0.1327,0.959,0.4714,0.277,0.1414,0.4463,0.0795,0.638,0.757
0.4243,0.609,0.3447,0.0852,0.342,0.7515,0.7153,0.446,0.0867,0.8447,0.592,0.923,0.3352,0.372,0.3472,0.4473,0.0497,0.798,0.3171,0.5815,0.652,0.2362,0.835,0.2041,0.964,0.4714,0.2827,0.1675,0.484,0.11365,0.6216,0.778
0.4016,0.609,0.3333,0.05682,0.358,0.785,0.7036,0.407,0.06665,0.8394,0.597,0.941,0.347,0.3489,0.3782,0.4521,0.07733,0.778,0.305,0.603,0.646,0.201,0.83,0.1327,0.9536,0.482,0.2664,0.1414,0.457,0.0682,0.644,0.7617
0.4243,0.57,0.3447,0.1307,0.4053,0.7627,0.7207,0.446,0.1666,0.782,0.6226,0.929,0.2773,0.285,0.373,0.4924,0.1271,0.7373,0.2683,0.625,0.646,0.2211,0.809,0.1531,0.933,0.4922,0.2391,0.1466,0.4463,0.0909,0.582,0.778
0.447,0.5864,0.3843,0.07385,0.3315,0.7456,0.7383,0.4019,0.0733,0.8447,0.597,0.994,0.3296,0.3372,0.399,0.4321,0.03314,0.773,0.2988,0.603,0.657,0.2362,0.82,0.1428,0.948,0.482,0.364,0.1152,0.5107,0.03976,0.5986,0.6934
0.4092,0.6255,0.3389,0.0625,0.358,0.785,0.7153,0.4119,0.0933,0.819,0.587,0.941,0.3296,0.3604,0.3628,0.4473,0.07184,0.788,0.2744,0.625,0.657,0.211,0.83,0.1276,0.969,0.4612,0.2827,0.1361,0.4517,0.07385,0.633,0.7515
0.4167,0.6255,0.3389,0.0625,0.363,0.774,0.7095,0.4019,0.08,0.8135,0.587,0.9526,0.341,0.3604,0.368,0.4473,0.07733,0.788,0.2805,0.6196,0.657,0.206,0.82,0.1377,0.9536,0.4714,0.2717,0.1414,0.4517,0.07385,0.638,0.757
0.4092,0.6255,0.322,0.0795,0.363,0.7686,0.6743,0.3823,0.0867,0.8135,0.587,0.941,0.3179,0.3547,0.368,0.4321,0.07184,0.7676,0.2927,0.6196,0.657,0.211,0.8145,0.1377,0.964,0.487,0.2827,0.1414,0.4355,0.0795,0.627,0.7515
0.4092,0.6255,0.3389,0.0625,0.363,0.774,0.7036,0.407,0.0867,0.808,0.5767,0.9585,0.3296,0.3604,0.3628,0.4521,0.07184,0.788,0.2866,0.625,0.652,0.211,0.8247,0.1327,0.9536,0.4714,0.277,0.1414,0.457,0.0682,0.627,0.7617
0.4167,0.6255,0.3333,0.0682,0.363,0.774,0.7095,0.4019,0.0867,0.819,0.5815,0.9526,0.341,0.3604,0.368,0.4573,0.07184,0.793,0.2805,0.6143,0.657,0.211,0.8247,0.1327,0.9536,0.4663,0.277,0.1414,0.4517,0.0682,0.627,0.7617
